gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4884352866	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/271312695	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Gunung Rinjani NP	Nusa Tenggara Barat	PRESENT	5	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.300391	116.408596	35.0						2023-05-12	12	5	2023	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 306891			2026-04-30T14:34:48.530Z	StillImage	
4600055169	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185878563	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.793712	115.545236	31271.0						2023-10-02T12:06:38	2	10	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	185878563		Michał Górski	2023-10-02T09:08:39	CC_BY_NC_4_0	Michał Górski	Michał Górski			2026-05-19T14:01:22.054Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4600036205	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184860951	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.484896	115.303541	31279.0						2023-09-25T14:30:49	25	9	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	184860951		Michał Górski	2023-09-25T13:42:18	CC_BY_NC_4_0	Michał Górski	Michał Górski			2026-05-19T14:08:28.869Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4599946223	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185021904	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.549019	115.357533	31279.0						2023-09-26T11:41:07	26	9	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	185021904		Michał Górski	2023-09-26T16:19:28	CC_BY_NC_4_0	Michał Górski	Michał Górski			2026-05-19T13:42:32.374Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4599945185	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185023848	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.537162	115.326211	31279.0						2023-09-26T16:05:10	26	9	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	185023848		Michał Górski	2023-09-26T16:34:20	CC_BY_NC_4_0	Michał Górski	Michał Górski			2026-05-19T14:01:34.665Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4506201157	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186251856	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.47964	115.232434	31279.0						2023-04-30T16:05	30	4	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	186251856		J.W.Baker	2023-10-05T06:10:28	CC_BY_NC_4_0	J.W.Baker	J.W.Baker			2026-05-19T13:27:18.214Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4156267988	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/259797089	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Bali	Bali	PRESENT	10	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.276525	115.149083	25.0						2022-09-25	25	9	2022	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 11737			2026-04-30T14:32:02.454Z	StillImage	
4127027926	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/162081852	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.50997	115.262867	31279.0						2023-05-17T11:14:53	17	5	2023	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	162081852		Andreas Christian Yudhistira	2023-05-17T06:36:17	CC_BY_NC_4_0	jdrosoff	jdrosoff			2026-05-19T13:26:14.932Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4006548732	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/144362450	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Bali	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-8.078428	114.510461	31295.0						2019-07-02T08:20	2	7	2019	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	144362450		Iggino	2022-12-14T15:40:21	CC_BY_NC_4_0	Iggino	Iggino			2026-05-19T13:25:26.310Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3070620735	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/33093468	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID		Kalimantan Tengah	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-2.956185	111.96318	31431.0						2016-09-25T16:06	25	9	2016	7262038	2436603	HUMAN_OBSERVATION	iNaturalist	Observations	33093468		Sheelagh Halsey	2019-09-20T21:02:44	CC_BY_4_0	Sheelagh Halsey	Sheelagh Halsey			2026-05-19T13:50:25.747Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
